代码,名称,买入日,卖出日,买入月份,卖出日市场环境,持仓天数,卖出时连续弱市持仓天数,累计弱市持仓天数,最大连续弱市持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金,信号日,信号日市场环境,信号日市场MA20宽度,信号日市场MA60宽度,信号日市场MA60上行宽度,信号日指数站上MA20,信号日指数MA20上行,信号日指数站上MA60,信号日收盘,信号日RSI14,信号日量比,信号日20日均成交额,信号日距MA20,信号日距MA60,信号日站上MA20,信号日站上MA60,信号日MA20上行,信号日MA60上行,信号日突破20日新高,信号日前5日阳线数,买入日市场环境,买入日市场MA20宽度,买入日市场MA60宽度,买入日开盘跳空,买入日开盘距MA20
603115,海星股份,2025-10-22,2025-11-05,2025-10,弱,10,1,1,1,800,18.908,18.792,15131.19,15021.36,-109.84,-0.006103320650696543,78,78,沉没止损,96074.17,2025-10-21,中,0.533106960950764,0.5042444821731749,0.6044142614601019,True,True,True,18.86,55.60471964919378,2.4434295715352414,91285549.73249999,0.027484950014981857,0.05892591448864426,True,True,False,True,False,2,强,0.5534804753820034,0.5195246179966044,0.0005302226935313126,0.02780576813094049
001296,长江材料,2025-10-24,2025-11-10,2025-10,强,11,0,2,2,600,24.068,23.742,14445.82,14233.33,-212.49,-0.01352914487428144,86,86,沉没止损,110307.5,2025-10-23,强,0.597623089983022,0.5382003395585738,0.5959252971137521,True,True,True,23.86,63.05220865808618,1.6597423656965717,98869910.9595,0.051842708517016334,0.07500075090859926,True,True,False,True,False,4,强,0.5891341256366723,0.5144312393887945,0.0067057837384745245,0.056404617921935074
603010,万盛股份,2025-10-22,2025-11-12,2025-10,强,15,0,2,2,1400,10.912,12.625,15281.49,17660.74,2379.25,0.15697897135022887,78,78,亢奋止盈,127968.24,2025-10-21,中,0.533106960950764,0.5042444821731749,0.6044142614601019,True,True,True,10.86,63.087248025764595,1.5222582164520506,100134301.8145,0.037992831541218575,0.048616810698594914,True,True,True,True,False,2,强,0.5534804753820034,0.5195246179966044,0.002762430939226679,0.038775218200028716
600116,三峡水利,2025-10-31,2025-11-14,2025-10,弱,10,0,2,2,2300,6.693,6.627,15399.73,15228.84,-170.89,-0.009956135632925705,82,82,沉没止损,143197.07,2025-10-30,中,0.45500848896434637,0.47877758913412566,0.5772495755517827,True,True,True,6.68,65.90908881198348,1.6956343144828403,65167986.9765,0.02297090352220521,0.014863393512774437,True,True,True,False,True,3,强,0.565365025466893,0.4940577249575552,0.0,0.021719180177424358
002442,龙星科技,2025-11-14,2025-11-21,2025-11,弱,5,5,5,5,800,6.543,6.327,5239.45,5054.33,-185.12,-0.03297234015888594,90,90,转弱持仓退出,143011.95,2025-11-13,强,0.7186440677966102,0.6576271186440678,0.6474576271186441,True,True,True,6.54,67.10526192174521,1.5507392239870554,42865303.035000004,0.03513770180436859,0.024462835809205608,True,True,True,True,True,3,弱,0.6644067796610169,0.6457627118644068,-0.001529051987767538,0.02980602428639023
002953,日丰股份,2025-11-21,2025-11-27,2025-11,弱,4,4,4,4,400,13.317,11.567,5331.63,4619.41,-712.22,-0.13139710045672376,90,90,绝对止损,142299.73,2025-11-20,弱,0.3220338983050847,0.4745762711864407,0.5813559322033899,False,True,False,13.49,58.70445310855775,1.6678076677046645,208593596.3155,0.026206686698870163,0.01811320754716972,True,True,True,True,True,3,弱,0.13220338983050847,0.26101694915254237,-0.014825796886582698,0.012841519643333354
002202,金风科技,2025-12-08,2025-12-22,2025-12,中,10,10,10,10,300,15.992,16.317,4802.58,4887.74,85.17,0.020346524995122704,86,86,沉没止损,142384.9,2025-12-05,弱,0.3271186440677966,0.411864406779661,0.49322033898305084,True,False,True,15.7,59.19999983424001,1.7089143309632384,1531118639.6720002,0.047399846559257997,0.06846331836123598,True,True,False,True,False,3,弱,0.3576271186440678,0.423728813559322,0.016560509554140124,0.06368089573128044
001338,永顺泰,2025-12-22,2026-01-07,2025-12,强,10,0,0,0,1100,12.074,11.946,13286.51,13129.1,-157.41,-0.010604517106865137,90,90,破位防守,39739.99,2025-12-19,弱,0.4567062818336163,0.3531409168081494,0.3904923599320883,True,False,False,12.06,65.555555045679,1.8418684528536813,81997048.6595,0.029713114754098324,0.043312763135129106,True,True,True,True,True,3,中,0.48639455782312924,0.35034013605442177,-0.0008291873963515162,0.024790577029383032
605005,合兴股份,2025-12-22,2026-01-07,2025-12,强,10,0,0,0,700,20.21,18.952,14152.24,13254.78,-897.46,-0.062261198970428235,90,90,破位防守,52994.77,2025-12-19,弱,0.4567062818336163,0.3531409168081494,0.3904923599320883,True,False,False,19.99,61.00278527742646,2.239623418711685,84089413.11,0.0516901223201367,0.07354797132193003,True,True,True,True,True,4,中,0.48639455782312924,0.35034013605442177,0.009004502251125812,0.05626980178576124
605287,德才股份,2026-01-06,2026-01-15,2026-01,强,7,0,0,0,500,28.777,35.888,14393.72,17930.07,3536.35,0.24709077666394244,78,78,亢奋止盈,40193.52,2026-01-05,中,0.6717428087986463,0.4365482233502538,0.4856175972927242,True,True,True,28.48,67.46987939162271,1.8144420369891363,100472816.1355,0.08367261519729086,0.03610103925396846,True,True,False,True,True,2,强,0.7935702199661591,0.5109983079526227,0.008426966292134797,0.08835288098982508
000423,东阿阿胶,2026-01-06,2026-01-20,2026-01,强,10,0,0,0,300,48.357,47.485,14511.96,14233.33,-278.63,-0.018026111060101054,90,90,破位防守,39145.36,2026-01-05,中,0.6717428087986463,0.4365482233502538,0.4856175972927242,True,True,True,48.29,60.56701009073759,1.5533907704523098,270879845.0215,0.020843903263994656,0.03197358626314717,True,True,True,True,True,4,强,0.7935702199661591,0.5109983079526227,-0.00062124663491403,0.01718850446310949
601019,山东出版,2026-01-06,2026-01-20,2026-01,强,10,0,0,0,1800,8.597,8.673,15479.89,15597.91,118.02,0.00877731716055065,80,80,沉没止损,54743.27,2026-01-05,中,0.6717428087986463,0.4365482233502538,0.4856175972927242,True,True,True,8.57,55.974842274435325,1.7323424848864812,98461979.57000001,0.029986178715221357,0.0587871924225265,True,True,True,True,True,3,强,0.7935702199661591,0.5109983079526227,0.001166861143523823,0.02853032845840331
002990,盛视科技,2026-01-06,2026-01-21,2026-01,强,11,0,0,0,500,29.369,29.87,14689.31,14922.6,233.29,0.017076730197060647,90,90,沉没止损,37497.68,2026-01-05,中,0.6717428087986463,0.4365482233502538,0.4856175972927242,True,True,True,29.31,65.5105971257903,1.9095176855003242,87964662.87550001,0.04742164885823552,0.011963333160702083,True,True,False,True,True,3,强,0.7935702199661591,0.5109983079526227,0.0,0.04531107901353448
